Park,Studio and/or Partnerships,Day & Time ,Studio Link, 2023 Season,Latitude,Longitude,City,Cost,"Links To Park Information, Studio, and Registration (If Applicable)",NYC Yoga Studio Archive Links
Hudson River Park Pier 64 at W 24 St,Lululemon Ambassadors,Wednesdays 6:30pm-7:30pm,,June - August,40.750886725112,-74.0088127323263,New York,Free,https://hudsonriverpark.org/event-series/healthy-on-the-hudson/,https://nycyogastudiosarchive.omeka.net/items/show/283
Hudson River Park Pier 84 at W 44 St,Lululemon Ambassadors,Mondays 6:30pm-7:30pm,,June - August,40.7633463041079,-74.0005260458181,New York,Free,https://hudsonriverpark.org/event-series/healthy-on-the-hudson/,https://nycyogastudiosarchive.omeka.net/items/show/284
Randall’s Island (East River Picnic Area),Instructor in partnership with Randall’s Island Park Alliance,Tuesdays 6:30pm-7:30pm,https://randallsisland.org/events/yoga-in-the-park-13/all/,May - August,40.6854490070336,-74.0259618633045,New York,Free,https://www.nycgovparks.org/parks/randalls-island/,https://nycyogastudiosarchive.omeka.net/items/show/285
Brooklyn Navy Yard Farm,Instructor in partnership with Brooklyn Grange,Tuesdays 6:30pm-7:30pm,https://www.brooklyngrangefarm.com/yoga,May - October,40.6997470604127,-73.9725718632705,Brooklyn,$14-22,https://www.brooklyngrangefarm.com/yoga,https://nycyogastudiosarchive.omeka.net/items/show/276
The Box House Hotel (Rooftop),YO BK,"Mondays, Tuesdays 6:30pm-7:30pm",http://www.yo-bk.com/schedule,,40.7378770053858,-73.9534202071105,Brooklyn,,https://theboxhousehotel.com,https://nycyogastudiosarchive.omeka.net/items/show/286
The Oculus,Sputnik Yoga Sponsored by Lifeway Foods,Wednesdays 7pm-8pm,https://www.sputnikyoga.com/events,May 3 - October 25,40.7116812919378,-74.0113933223349,New York,Free,https://www.officialworldtradecenter.com/en/local/things-to-do/events/wellness-wednesdays.html,https://nycyogastudiosarchive.omeka.net/items/show/273
Margaritaville Resort Times Square ,Sputnik Yoga Sponsored by Lifeway Foods,Saturdays 9am-10am,https://www.sputnikyoga.com/events,June 1 - September 30,40.7589163121112,-73.9863179697793,New York,Free,https://www.margaritavilleresorts.com/margaritaville-resort-times-square,https://nycyogastudiosarchive.omeka.net/items/show/274
Sunset Park,Unit 108,Sundays 11am-12pm,https://www.unit108.yoga/,June - September,40.6541823274963,-73.9963455329394,New York,Donation,https://www.nycgovparks.org/parks/sunset-park,https://nycyogastudiosarchive.omeka.net/items/show/174
TAMA Bedstuy Open Streets,Stacked Yoga,Sunday June 4th & July 12pm-1pm,http://stackedyoga.com/,June 4th & 18th,40.6836384462996,-73.9439749411346,Brooklyn,Free,http://www.tamabedstuy.com/,https://nycyogastudiosarchive.omeka.net/admin/items/show/41
Fab Fulton,Prema Yoga,"Sunday July 23, August 20th, 9:30-10:15am",https://www.premayogabrooklyn.com,July 23rd &August 20th,40.6826823876573,-73.9619866106272,Brooklyn,Free,https://www.fabfulton.org/,https://nycyogastudiosarchive.omeka.net/items/show/118
